flow_duration,total_fwd_packets,total_bwd_packets,flow_bytes_per_sec,flow_packets_per_sec,packet_length_mean,packet_length_std,syn_flag_count,ack_flag_count,urg_flag_count,destination_port,protocol_type,label
20940.93,20,12,116493.07,35.23,432.1,174.16,0,13,0,443,TCP,Normal
16.38,2,0,2373.59,930.33,32.03,0.0,1,0,0,1567,TCP,Port Scan
26749.25,9,15,75577.61,228.4,704.08,120.02,0,17,0,443,TCP,Normal
1224.94,1149,0,3236988.51,17078.67,50.22,24.56,147,0,0,80,TCP,DDoS
31435.84,33,17,130205.27,50.43,1084.31,166.53,1,22,0,443,UDP,Normal
4512.82,48,44,14648.64,117.62,157.23,36.07,4,46,0,22,TCP,Brute Force
1180.35,1157,2,3919406.1,13431.16,85.4,6.12,246,0,0,80,TCP,DDoS
44796.97,21,23,80609.62,34.64,981.96,169.8,0,11,0,53,TCP,Normal
1484.5,9,17,75853.26,197.19,878.31,139.18,0,6,0,443,TCP,Normal
40301.0,23,5,135324.24,147.22,968.58,126.81,0,7,0,80,TCP,Normal
141.73,516,1,5447625.78,10947.14,76.81,21.63,557,0,0,443,TCP,DDoS
13887.96,11,22,73858.55,107.98,483.88,244.83,0,22,0,53,TCP,Normal
38775.64,14,11,61719.62,82.78,733.67,58.88,1,12,0,443,TCP,Normal
33.03,1,0,928.45,1497.03,33.21,0.0,1,0,0,1864,TCP,Port Scan
9.53,2,0,1279.7,2744.87,48.94,0.0,1,0,0,1489,TCP,Port Scan
68559.03,11,9,8564.23,18.53,438.22,96.79,1,16,0,9001,TCP,Botnet
46735.67,18,15,9348.85,23.04,192.27,202.78,1,7,0,8000,TCP,Botnet
44340.27,5,29,64622.62,118.32,631.2,162.85,1,16,0,80,TCP,Normal
23311.38,8,7,15024.25,120.55,468.18,131.0,0,9,0,80,TCP,Normal
10772.61,32,32,29631.01,73.67,215.7,17.52,3,52,0,21,TCP,Brute Force
6329.35,49,65,44238.54,77.15,194.45,37.85,4,58,0,22,TCP,Brute Force
304.79,806,2,3005762.29,9700.33,53.98,21.5,131,0,0,80,TCP,DDoS
3201.3,32,25,17755.99,45.2,131.64,52.47,3,58,0,21,TCP,Brute Force
14620.09,25,23,13834.66,179.62,527.93,113.81,0,13,0,80,TCP,Normal
6557.29,68,34,39844.12,81.75,107.09,55.14,2,47,0,21,TCP,Brute Force
35592.58,9,27,50199.7,77.15,920.76,56.71,0,12,0,443,TCP,Normal
10.51,1,0,1895.62,2689.23,39.88,0.0,1,0,0,3466,TCP,Port Scan
55248.52,15,15,7325.38,27.48,440.98,168.82,0,5,0,1337,TCP,Botnet
43642.35,29,18,21312.95,189.26,592.57,177.82,0,6,0,443,TCP,Normal
22869.22,25,25,45403.74,228.9,567.69,78.98,0,8,0,80,TCP,Normal
3964.62,22,3,40809.37,217.72,518.17,220.79,0,18,0,80,TCP,Normal
36159.99,32,12,5829.19,127.14,799.81,110.81,0,5,0,80,TCP,Normal
6.64,1,0,552.86,1937.07,34.19,0.0,1,0,0,4142,TCP,Port Scan
6578.74,10,6,112096.63,92.59,851.38,129.03,1,24,0,443,TCP,Normal
17.28,1,0,2203.73,2820.46,59.8,0.0,1,0,0,9648,TCP,Port Scan
34366.18,20,6,106868.37,88.55,473.76,206.36,0,12,0,80,TCP,Normal
48092.39,13,6,6609.34,10.79,312.56,110.77,0,11,1,4444,TCP,Botnet
23313.71,14,24,140104.29,111.31,460.96,173.41,0,21,0,53,TCP,Normal
40330.91,18,27,55862.76,211.52,745.38,232.33,1,15,0,8080,TCP,Normal
5887.93,44,73,38033.4,100.71,117.21,21.8,3,39,0,22,TCP,Brute Force
801.56,717,2,5807036.5,5633.7,49.77,23.3,88,0,0,80,TCP,DDoS
29.82,1,0,1828.08,1213.9,61.27,0.0,1,0,0,6824,TCP,Port Scan
37812.89,9,21,76557.64,85.16,950.74,129.49,0,25,0,443,TCP,Normal
220.46,488,1,1888914.91,3176.7,94.86,10.62,417,0,0,80,TCP,DDoS
35601.44,14,8,3817.16,24.34,308.61,209.92,0,14,1,9001,UDP,Botnet
9946.25,48,44,28996.98,116.06,163.69,15.67,2,63,0,22,TCP,Brute Force
1067.48,1193,0,1108406.25,7579.89,89.31,17.83,95,0,0,53,TCP,DDoS
58436.86,15,19,1493.48,11.58,363.08,174.91,0,17,0,8000,TCP,Botnet
34221.06,25,18,51115.74,232.67,439.36,147.13,1,7,0,80,TCP,Normal
41437.07,22,19,8116.43,15.92,177.73,208.23,0,7,0,4444,TCP,Botnet
24.41,1,0,1607.98,1249.67,48.92,0.0,1,0,0,7872,TCP,Port Scan
4058.46,15,15,140785.13,221.5,594.43,220.29,0,13,0,443,TCP,Normal
41498.18,29,13,90961.83,101.63,436.39,56.35,0,19,0,443,UDP,Normal
33980.67,26,18,119494.63,40.98,746.09,61.51,0,7,0,443,TCP,Normal
12912.74,14,25,19434.24,158.73,766.52,100.72,0,13,0,8080,TCP,Normal
17686.43,11,29,31879.05,157.95,1003.06,223.73,1,13,0,80,TCP,Normal
8.97,2,0,501.02,2035.44,40.59,0.0,1,0,0,9810,TCP,Port Scan
17764.1,9,9,9642.6,5.39,395.06,122.07,1,8,0,1337,UDP,Botnet
21603.56,12,11,55973.32,114.94,893.45,169.66,0,5,0,443,TCP,Normal
25973.04,27,19,83068.22,172.18,916.5,154.03,0,14,0,80,TCP,Normal
39201.96,11,18,8242.49,23.44,150.78,167.95,0,17,0,1337,TCP,Botnet
15.29,2,0,2346.54,2976.24,54.18,0.0,1,0,0,6652,TCP,Port Scan
863.18,765,2,5075498.01,7434.03,78.79,15.26,104,0,0,80,TCP,DDoS
12314.59,20,8,103382.5,93.04,993.68,239.43,1,6,0,80,UDP,Normal
36844.18,9,23,105411.46,118.88,871.08,105.08,0,14,0,443,TCP,Normal
7.7,2,0,1918.12,3273.0,62.66,0.0,1,0,0,5615,TCP,Port Scan
14459.79,9,9,94779.37,209.71,882.17,160.39,0,3,0,80,TCP,Normal
1172.29,1193,0,3445156.54,3820.71,69.45,23.71,466,0,0,80,TCP,DDoS
20689.37,21,22,7589.97,203.26,605.92,232.37,1,22,0,443,TCP,Normal
11988.71,32,18,48025.51,185.24,1067.82,194.28,1,16,0,80,TCP,Normal
4.34,1,0,2337.35,2737.07,56.4,0.0,1,0,0,3626,TCP,Port Scan
647.43,463,0,5515706.2,11810.55,44.7,14.0,309,0,0,443,TCP,DDoS
16926.56,15,16,54893.28,139.73,708.47,225.98,0,27,0,80,UDP,Normal
5019.3,71,28,31877.24,83.74,184.1,30.26,2,60,0,22,TCP,Brute Force
2413.81,16,27,124379.87,199.86,780.66,69.97,0,15,0,80,TCP,Normal
36671.87,32,28,94651.33,199.74,892.29,216.89,0,7,0,443,UDP,Normal
37510.52,16,8,80121.42,88.71,1058.48,101.86,0,21,0,80,TCP,Normal
1628.11,24,25,67105.6,178.35,440.74,233.04,0,24,0,443,TCP,Normal
7508.45,45,26,36198.01,74.35,87.61,22.58,4,65,0,22,TCP,Brute Force
440.22,482,2,1029556.92,17881.38,47.17,20.92,382,0,0,443,TCP,DDoS
7.08,1,0,318.07,1826.41,42.79,0.0,1,0,0,962,TCP,Port Scan
15619.78,16,22,103326.51,144.89,642.82,137.13,1,5,0,80,TCP,Normal
38.07,1,0,485.74,2364.63,53.28,0.0,1,0,0,4809,TCP,Port Scan
3603.25,33,67,33597.29,49.73,89.11,58.87,2,68,0,22,TCP,Brute Force
37012.58,27,22,79533.39,159.32,842.32,155.41,0,12,0,443,TCP,Normal
878.87,611,1,5783303.97,4465.61,40.82,8.22,464,0,0,443,TCP,DDoS
8950.06,59,58,22138.25,87.55,89.77,26.51,3,60,0,22,TCP,Brute Force
7832.11,63,72,22205.75,61.5,171.29,21.06,2,53,0,21,TCP,Brute Force
1079.22,870,0,3582626.64,13344.12,77.36,10.05,491,0,0,443,TCP,DDoS
6808.96,6,9,105795.96,112.99,699.74,193.52,0,9,0,80,TCP,Normal
234.41,955,1,2966813.17,8781.32,69.38,21.84,388,0,0,80,TCP,DDoS
37694.25,32,6,105574.62,197.36,858.26,80.32,1,25,0,80,TCP,Normal
624.6,532,0,3465396.32,7016.61,65.02,14.42,194,0,0,443,TCP,DDoS
15654.25,34,11,12596.74,56.71,634.94,65.36,0,23,0,443,UDP,Normal
391.34,752,1,2289103.55,14463.66,69.68,7.58,255,0,0,80,TCP,DDoS
44806.21,29,18,75453.41,150.15,1041.73,210.16,0,26,0,443,TCP,Normal
33169.73,5,28,91150.57,114.62,488.47,55.57,0,27,0,80,TCP,Normal
11785.77,4,6,44952.8,133.74,485.19,167.62,0,21,0,443,TCP,Normal
21.66,2,0,570.41,1666.76,39.2,0.0,1,0,0,7170,TCP,Port Scan
677.56,770,2,4462635.37,15041.49,53.14,5.84,141,0,0,443,TCP,DDoS
24510.25,16,20,20651.84,177.62,464.31,243.03,0,25,0,443,TCP,Normal
1652.38,34,29,85325.64,20.37,598.25,226.28,0,27,0,443,TCP,Normal
35376.35,14,18,50268.47,23.62,412.0,233.32,1,6,0,80,TCP,Normal
884.89,965,0,1734948.63,10016.37,93.24,20.06,187,0,0,80,TCP,DDoS
17289.23,20,28,130903.66,39.44,818.09,247.25,0,26,0,443,TCP,Normal
25.94,1,0,829.06,1128.29,49.79,0.0,1,0,0,3666,TCP,Port Scan
1350.28,616,0,828307.29,3527.62,90.15,20.51,320,0,0,443,TCP,DDoS
77389.82,15,13,9613.08,13.5,203.61,161.89,0,15,0,6667,TCP,Botnet
6856.84,11,10,116493.8,171.46,936.28,219.18,0,10,0,80,TCP,Normal
30647.57,23,19,7121.1,67.67,899.27,127.32,0,8,0,443,UDP,Normal
6671.92,49,33,33806.07,80.5,83.59,56.61,2,62,0,22,TCP,Brute Force
7258.93,23,14,12897.58,61.97,1075.65,135.64,0,25,0,443,TCP,Normal
4973.39,42,33,44085.88,96.35,179.71,19.26,5,57,0,21,TCP,Brute Force
16319.44,28,15,18483.64,155.29,736.68,178.47,0,18,0,80,TCP,Normal
5285.22,73,68,11936.37,79.61,165.29,27.37,5,26,0,22,TCP,Brute Force
1417.87,1047,0,2560338.5,3307.67,60.0,15.63,157,0,0,443,TCP,DDoS
404.84,1056,0,5833442.94,6827.73,87.22,15.93,125,0,0,443,TCP,DDoS
37354.27,27,29,50782.79,162.95,553.9,138.97,1,8,0,80,TCP,Normal
7268.64,7,8,145324.6,217.08,482.35,197.95,0,3,0,443,UDP,Normal
30421.35,34,27,13035.3,96.16,936.18,132.74,0,3,0,80,UDP,Normal
16528.48,31,7,80725.27,197.1,551.07,174.58,0,15,0,80,TCP,Normal
30385.01,5,24,116986.17,139.64,996.53,160.38,0,27,0,443,TCP,Normal
8494.62,54,37,36717.62,78.91,111.47,23.78,3,51,0,21,TCP,Brute Force
42160.65,14,17,9463.2,24.1,237.73,91.39,0,5,0,1337,TCP,Botnet
38.15,1,0,449.8,2076.54,53.67,0.0,1,0,0,5178,TCP,Port Scan
30164.46,15,14,88033.21,79.05,962.87,135.19,1,15,0,443,TCP,Normal
906.68,1184,0,1583176.96,16989.72,61.07,19.59,93,0,0,80,TCP,DDoS
13.38,1,0,2008.22,1817.76,35.21,0.0,1,0,0,6103,TCP,Port Scan
5.07,1,0,2155.62,2707.2,41.3,0.0,1,0,0,1837,TCP,Port Scan
36.26,2,0,328.19,2349.7,59.62,0.0,1,0,0,9657,TCP,Port Scan
5987.16,69,68,38547.52,114.94,192.44,34.2,2,58,0,21,TCP,Brute Force
10728.76,34,34,23086.39,106.48,172.54,32.77,2,44,0,21,TCP,Brute Force
6164.83,44,67,44987.91,53.72,188.02,25.05,5,49,0,21,TCP,Brute Force
49314.14,20,18,3244.25,20.08,159.4,96.64,1,16,0,1337,TCP,Botnet
5034.18,26,20,95354.99,101.9,952.24,96.74,0,24,0,80,TCP,Normal
13.9,2,0,2301.44,2069.77,50.21,0.0,1,0,0,7281,TCP,Port Scan
634.03,415,1,3665934.95,13630.21,46.29,11.11,266,0,0,80,TCP,DDoS
3537.11,14,10,68393.04,230.57,905.07,172.08,1,25,0,443,UDP,Normal
39893.13,31,11,83062.65,230.04,671.58,215.91,0,16,0,80,TCP,Normal
4047.32,8,9,140222.17,152.4,488.28,166.34,1,17,0,53,TCP,Normal
7415.49,73,28,14279.77,40.01,180.55,20.0,2,44,0,22,TCP,Brute Force
21.74,1,0,2031.49,1965.68,46.5,0.0,1,0,0,1610,TCP,Port Scan
32.03,1,0,960.46,1043.86,50.0,0.0,1,0,0,5305,TCP,Port Scan
29821.13,11,22,110652.37,141.46,541.46,72.01,0,13,0,443,TCP,Normal
19.32,2,0,2129.02,1957.12,55.25,0.0,1,0,0,3774,TCP,Port Scan
31072.36,29,3,139874.79,214.18,873.09,77.82,0,13,0,443,UDP,Normal
10005.56,47,37,14388.32,40.98,163.11,54.9,4,64,0,22,TCP,Brute Force
9666.47,31,23,8066.72,116.35,943.11,117.75,0,8,0,53,TCP,Normal
39.47,1,0,796.97,2585.73,33.03,0.0,1,0,0,1582,TCP,Port Scan
18.85,1,0,2395.67,3299.63,61.1,0.0,1,0,0,4624,TCP,Port Scan
43661.73,11,27,118918.25,78.14,1057.23,228.8,0,7,0,80,TCP,Normal
26068.91,19,28,79422.77,44.66,696.44,140.47,1,7,0,80,TCP,Normal
595.11,1135,2,5358310.22,16687.28,54.63,14.24,292,1,0,8080,TCP,DDoS
7.99,2,0,2036.54,2214.9,50.31,0.0,1,0,0,6338,TCP,Port Scan
13.88,2,0,2082.65,1788.88,51.25,0.0,1,0,0,5775,TCP,Port Scan
9711.17,16,8,128849.72,31.38,983.32,218.78,0,9,0,443,TCP,Normal
6540.69,34,15,144831.22,57.66,609.6,70.03,0,5,0,80,TCP,Normal
1088.89,334,0,1898567.17,12490.16,93.68,11.21,506,0,0,443,TCP,DDoS
47488.45,18,11,11373.17,22.03,343.68,179.63,0,6,0,4444,TCP,Botnet
10.82,1,0,1537.52,1254.18,45.59,0.0,1,0,0,952,TCP,Port Scan
8162.79,20,18,79025.44,52.34,697.35,118.35,0,18,0,443,UDP,Normal
30038.64,23,26,86224.39,235.47,436.58,133.76,0,27,0,443,UDP,Normal
36.48,1,0,1598.89,1394.0,47.33,0.0,1,0,0,3650,TCP,Port Scan
1003.11,1056,0,1595401.73,15096.04,68.06,24.55,150,0,0,80,TCP,DDoS
17820.76,23,18,91543.52,233.48,1050.4,118.38,0,7,0,8080,UDP,Normal
19967.63,34,4,55497.04,138.22,948.56,129.31,0,21,0,443,TCP,Normal
8157.97,20,11,70077.98,56.58,526.14,69.65,1,17,0,443,TCP,Normal
51273.18,19,15,6926.09,27.54,361.63,191.59,0,10,0,4444,TCP,Botnet
78.6,987,0,4415021.59,4803.76,52.69,12.01,495,0,0,80,TCP,DDoS
5269.76,44,70,38887.54,100.94,126.07,39.03,4,41,0,22,TCP,Brute Force
24797.9,12,18,7063.34,15.83,232.99,216.46,1,5,0,1337,UDP,Botnet
10661.32,57,51,24862.23,54.16,168.76,31.39,2,58,0,21,TCP,Brute Force
14467.46,34,25,126815.67,247.57,1022.66,124.29,0,20,0,443,TCP,Normal
77907.02,10,10,5647.31,5.48,160.23,175.87,0,6,0,1337,UDP,Botnet
28.05,2,0,1936.72,2827.19,40.5,0.0,1,0,0,3412,TCP,Port Scan
6030.06,72,39,43662.19,56.01,93.34,20.37,2,58,0,22,TCP,Brute Force
5923.42,73,72,35755.56,57.18,196.83,33.91,3,59,0,21,TCP,Brute Force
1289.86,294,2,4862711.37,3291.02,57.99,17.56,493,1,0,443,TCP,DDoS
20230.41,11,23,96539.6,156.09,891.84,97.49,0,6,0,80,TCP,Normal
12347.3,28,17,22320.09,163.13,1054.09,91.31,1,3,0,80,TCP,Normal
33685.15,17,27,143920.65,104.63,628.85,79.78,0,26,0,443,TCP,Normal
3181.96,61,73,25363.44,67.74,200.74,53.44,2,40,0,22,TCP,Brute Force
21059.26,17,13,27235.95,154.83,754.12,172.29,0,13,0,53,TCP,Normal
19210.19,23,8,3484.51,14.84,169.24,111.68,0,6,0,4444,TCP,Botnet
4617.52,5,5,96304.12,115.72,516.58,247.24,1,11,0,80,TCP,Normal
15.93,1,0,1162.01,2310.12,38.0,0.0,1,0,0,2998,TCP,Port Scan
17927.54,7,14,143680.28,203.54,581.29,167.71,1,16,0,443,UDP,Normal
8536.14,79,39,30670.72,58.05,206.65,36.38,2,67,0,21,TCP,Brute Force
1402.18,576,2,4468582.59,13076.69,61.69,5.03,536,0,0,80,TCP,DDoS
25.01,1,0,1892.84,2303.48,61.73,0.0,1,0,0,2232,TCP,Port Scan
167.38,960,0,4229000.88,12370.51,55.54,12.56,520,0,0,80,TCP,DDoS
4154.07,35,71,38904.09,66.17,148.33,57.35,5,52,0,22,TCP,Brute Force
8.57,2,0,528.26,1635.76,50.21,0.0,1,0,0,7946,TCP,Port Scan
1240.56,663,2,1006498.28,15591.12,64.65,17.73,315,0,0,443,TCP,DDoS
38304.27,13,20,148795.93,144.43,1089.39,237.8,0,8,0,80,TCP,Normal
26545.71,26,4,140426.81,50.14,958.18,151.59,1,18,0,443,TCP,Normal
37416.8,22,6,10734.37,9.6,402.11,97.02,1,8,0,6667,TCP,Botnet
15.66,2,0,966.1,1198.31,35.09,0.0,1,0,0,6258,TCP,Port Scan
35538.11,5,28,41015.62,182.26,699.32,138.51,0,7,0,443,TCP,Normal
43902.77,20,19,128619.38,235.73,459.57,127.12,0,14,0,80,TCP,Normal
51753.83,10,18,7031.44,9.94,279.21,150.24,1,6,0,8000,UDP,Botnet
21.19,1,0,810.35,2657.5,57.36,0.0,1,0,0,4626,TCP,Port Scan
311.92,1099,1,2181055.51,14508.5,51.32,11.43,461,1,0,8080,TCP,DDoS
5906.54,18,21,37242.39,139.42,825.43,99.07,0,24,0,80,TCP,Normal
36655.09,29,23,49332.87,112.62,870.76,186.44,0,21,0,80,TCP,Normal
3471.14,44,34,31735.14,110.15,174.65,31.06,5,53,0,21,TCP,Brute Force
37758.2,32,9,23309.31,207.09,1046.98,142.13,0,7,0,80,TCP,Normal
10929.47,29,18,22935.17,154.15,914.33,114.31,0,16,0,80,TCP,Normal
25.44,2,0,1226.46,1909.49,49.23,0.0,1,0,0,3876,TCP,Port Scan
684.59,262,2,4538901.1,7304.8,53.74,12.12,231,0,0,443,TCP,DDoS
257.13,689,2,5281587.88,10156.65,94.7,18.58,520,0,0,80,TCP,DDoS
